node,x,y
1,1.093966887087722,-0.037040058907346775
2,0.6529823735960847,1.095941027767055
3,0.2,-0.1
4,1.008560199853962,0.7639081234015446
5,2,-0.3
6,2.1,-1.2
7,2.3,0
8,0.8,0.4
9,-0.3,0.1
10,-0.4,1.0
11,1.9,-0.6
12,1.3,-0.9
13,2.0587212117790386,0.7216614853390146
14,0.07840464375031653,0.7578488361025304
15,-1.832251138527279,1.0484169427497645
16,-2.043107183215483,0.7123644274753802
17,3.1903504510195644,-0.8579213985885914
18,1.8,1.4
19,-2.16352977570066,0.31429269895315703
20,0.1099363214367049,0.3892944824856471
21,-2.0173609083270287,-0.3514298049811459
22,1.4,1.1
23,-1.5261678738666977,1.2955819756075229
24,-1.3917045208190189,-1.1458655130616313
25,-0.6,-1.5
26,-0.5,-1.9
27,-2.4328956848424186,-0.23710364977672901
28,-0.9,-1
29,-0.1,-0.6
30,-1.890884181791489,-0.7900313871756283
31,-1.0,1.4
32,0,-1.1
33,-1.3,0
34,-1.1,0.4
